PROFISSAO;CATEGORIA
OPERADOR DE EQUIPAMENTO MEDICO E ODONTOLOGICO;tecnico
DIGITADOR;tecnico
AUXILIAR DE LABORATORIO;tecnico
BANCARIO E ECONOMIARIO;tecnico
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;tecnico
TECNICO EM EDIFICACOES;tecnico
PROFESSOR E INSTRUTOR DE FORMACAO PROFISSIONAL;tecnico
TECNICO DE LABORATORIO E RAIOS X;tecnico
CONTADOR;tecnico
TECNICO DE OBRAS CIVIS, ESTRADAS, SANEAMENTO E TRABALHADOR ASSEMELHADO;tecnico
OPERADOR DE COMPUTADOR;tecnico
LEITURISTA;tecnico
RELOJOEIRO E MONTADOR DE INSTRUMENTO DE PRECISAO;tecnico
ANALISTA DE SISTEMAS;tecnico
ZOOTECNISTA;tecnico
TRABALHADOR DOS SERVICOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;tecnico
TECNICO DE MINERACAO, METALURGIA E GEOLOGIA;tecnico
PILOTO DE AVIACAO COMERCIAL, NAVEGADOR, MECANICO DE VOO E ASSEMELHADOS;tecnico
TECNICO DE MECANICA;tecnico
TRABALHADOR DE ARTES GRAFICAS;tecnico
TRABALHADOR DE CURTIMENTO;tecnico
TECNICO TEXTIL;tecnico
TRABALHADOR EM ATIVIDADE DE PROCESSAMENTO QUIMICO;tecnico
TERAPEUTA;tecnico
TRADUTOR, INTERPRETE E FILOLOGO;tecnico
TECNICO DE BIOLOGIA;tecnico
COMISSARIO DE BORDO;tecnico
PROFESSOR DE ENSINO MÉDIO;tecnico
TRABALHADOR DE ARTES GRÁFICAS;tecnico
PROFESSOR DE ENSINO FUNDAMENTAL;tecnico
BANCÁRIO E ECONOMIÁRIO;tecnico
PILOTO DE AVIAÇÃO COMERCIAL, NAVEGADOR, MECÂNICO DE VÔO E ASSEMELHADOS;tecnico
TÉCNICO DE MECÂNICA;tecnico
AUXILIAR DE LABORATÓRIO;tecnico
TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;tecnico
TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);tecnico
TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO;tecnico
TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES;tecnico
TÉCNICO DE LABORATÓRIO E RAIOS X;tecnico
TÉCNICO EM INFORMÁTICA;tecnico
TÉCNICO EM EDIFICAÇÕES;tecnico
SECRETÁRIO E DATILÓGRAFO;tecnico
TÉCNICO EM AGRONOMIA E AGRIMENSURA;tecnico
PROTÉTICO;tecnico
NUTRICIONISTA E ASSEMELHADOS;tecnico
TÉCNICO DE OBRAS CIVIS, ESTRADAS, SANEAMENTO E ASSEMELHADOS;tecnico
OPERADOR DE EQUIPAMENTO DE RÁDIO, TELEVISÃO, SOM E CINEMA;tecnico
TÉCNICO DE QUÍMICA;tecnico
TÉCNICO TÊXTIL;tecnico
TÉCNICO DE BIOLOGIA;tecnico
BACTERIOLOGISTA E ASSEMELHADOS;tecnico
TRADUTOR, INTÉRPRETE E FILÓLOGO;tecnico
TÉCNICO DE MINERAÇÃO, METALURGIA E GEOLOGIA;tecnico
COMUNICÓLOGO;tecnico
OPERADOR DE INSTALAÇÃO DE PRODUÇÃO DE ENERGIA ELÉTRICA E NUCLEAR;tecnico
OPERADOR DE EQUIPAMENTO MÉDICO E ODONTOLÓGICO;tecnico
ARQUIVISTA E MUSEÓLOGO;tecnico
FONOAUDIÓLOGO;tecnico
